logger,date,temp,Temp.Out,Out.Hum,Wind.Speed,Heat.Index,Rain,Solar.Rad.,Area,Humidity.sensor,Floor,Floor.on.top,Roof.structure,Wall.material,Fan,Evaporative.cooler,Flowing.ventilation,LCZ
X10692989,12/04/16,31.4,34.3,29,1.8,32.5,0,906,Railway Colony,yes,4,no,concrete,bricks,1,yes,1,2
X10692990,12/04/16,31.5,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,yes,1,no,concrete,bricks,1,yes,1,5
X10692993,12/04/16,32.7,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,yes,3,yes,floor on top,bricks,1,yes,0,3
X10692995,12/04/16,32.9,34.3,29,1.8,32.5,0,906,Lodhi Colony,yes,2,no,concrete,bricks,1,yes,1,6
X10692998,12/04/16,32.4,34.3,29,1.8,32.5,0,906,Patparganj slum,yes,0,yes,floor on top,bricks,1,yes,1,2
X10693000,12/04/16,34.1,34.3,29,1.8,32.5,0,906,Laxmi Nagar,yes,3,no,concrete,bricks,1,yes,1,2
X10706777,12/04/16,31.6,34.3,29,1.8,32.5,0,906,Railway Colony,no,1,no,concrete,bricks,1,no,0,2
X10706780,12/04/16,40.6,34.3,29,1.8,32.5,0,906,Laxmi Nagar,no,4,no,tin sheet,bricks,1,no,0,2
X10706789,12/04/16,,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,no,2,yes,floor on top,bricks,1,yes,1,3
X10706790,12/04/16,34.3,34.3,29,1.8,32.5,0,906,Railway Colony,no,1,no,stone slab ,bricks,1,no,0,2
X10706791,12/04/16,28.8,34.3,29,1.8,32.5,0,906,Railway Colony,no,0,yes,floor on top,bricks,1,no,0.5,2
X10706792,12/04/16,31.7,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706796,12/04/16,33.1,34.3,29,1.8,32.5,0,906,Laxmi Nagar,no,3,no,concrete,bricks,1,no,1,2
X10706797,12/04/16,33.8,34.3,29,1.8,32.5,0,906,Patparganj slum,no,0,no,tin sheet ,bricks,1,no,0.5,2
X10706799,12/04/16,35,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,no,2,no,stone slab ,bricks,1,no,0.5,3
X10706800,12/04/16,30.8,34.3,29,1.8,32.5,0,906,Laxmi Nagar,no,2,yes,floor on top,bricks,1,no,1,2
X10706802,12/04/16,31.9,34.3,29,1.8,32.5,0,906,Railway Colony,no,3,yes,floor on top,bricks,1,no,0,2
X10706806,12/04/16,35.4,34.3,29,1.8,32.5,0,906,Laxmi Nagar,no,4,no,concrete,bricks,1,yes,0.5,2
X10706809,12/04/16,35.3,34.3,29,1.8,32.5,0,906,Lodhi Colony,no,2,no,tin sheet,cement ,1,yes,0,6
X10706810,12/04/16,,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706811,12/04/16,34.3,34.3,29,1.8,32.5,0,906,Railway Colony,no,1,no,stone slab ,bricks,1,no,0,2
X10706812,12/04/16,33.9,34.3,29,1.8,32.5,0,906,Lodhi Colony,no,2,no,concrete,bricks,1,yes,1,6
X10706813,12/04/16,33.1,34.3,29,1.8,32.5,0,906,Lodhi Colony,no,2,no,concrete,bricks,1,no,0,6
X10706814,12/04/16,37.8,34.3,29,1.8,32.5,0,906,Sarai Kale Khan,no,1,no,tin sheet,bricks ,1,yes,0.5,3
X10706815,12/04/16,32.3,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,0,5
X10706816,12/04/16,38.9,34.3,29,1.8,32.5,0,906,Patparganj slum,no,0,no,tin sheet,bricks,1,no,0.5,2
X10706817,12/04/16,31.4,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706827,12/04/16,,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
X10706833,12/04/16,31.4,34.3,29,1.8,32.5,0,906,Kasturbha Nagar,no,1,no,concrete,bricks,1,yes,1,5
